Author-abbrv;Title-abbrv;shortauthor;origtitle;shorthand;bibtexkey;author;maintitle;title;origlanguage;year;number;volume;translator;editor;entry
Acc.;;Accius;;Acc.;Acc;;;;;;;;;;@Book{Acc,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Acc.}, shortauthor = {Accius}, keywords = {ancient}, options = {antik},}
Ach. Tat.;;Achilleus Tatios;;Ach. Tat.;Ach_Tat;;;;;;;;;;@Book{Ach_Tat,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ach. Tat.}, shortauthor = {Achilleus Tatios}, keywords = {ancient}, options = {antik},}
Papin.;;Aemilius Papinianus;;Papin.;Papin;;;;;;;;;;@Book{Papin,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Papin.}, shortauthor = {Aemilius Papinianus}, keywords = {ancient}, options = {antik},}
Aet.;;Aetios;;Aet.;Aet;;;;;;;;;;@Book{Aet,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aet.}, shortauthor = {Aetios}, keywords = {ancient}, options = {antik},}
Aristeid.;;Ailios Aristeides;;Aristeid.;Aristeid;;;;;;;;;;@Book{Aristeid,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aristeid.}, shortauthor = {Ailios Aristeides}, keywords = {ancient}, options = {antik},}
Aischyl.;Ag.;Aischylos;Agamemnon;Aischyl. Ag.;Aischyl_Ag;;;;;;;;;;@Book{Aischyl_Ag,author ={}, title ={Agamemnon}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Agamemnon}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Ag.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Choeph.;Aischylos;Choephoroi;Aischyl. Choeph.;Aischyl_Choeph;;;;;;;;;;@Book{Aischyl_Choeph,author ={}, title ={Choephoroi}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Choephoroi}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Choeph.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Eum.;Aischylos;Eumenides;Aischyl. Eum.;Aischyl_Eum;;;;;;;;;;@Book{Aischyl_Eum,author ={}, title ={Eumenides}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Eumenides}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Eum.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Pers.;Aischylos;Persae;Aischyl. Pers.;Aischyl_Pers;;;;;;;;;;@Book{Aischyl_Pers,author ={}, title ={Persae}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Persae}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Pers.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Prom.;Aischylos;Prometheus;Aischyl. Prom.;Aischyl_Prom;;;;;;;;;;@Book{Aischyl_Prom,author ={}, title ={Prometheus}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Prometheus}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Prom.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Sept.;Aischylos;Septem adversus Thebas;Aischyl. Sept.;Aischyl_Sept;;;;;;;;;;@Book{Aischyl_Sept,author ={}, title ={Septem adversus Thebas}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Septem adversus Thebas}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Sept.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Suppl.;Aischylos;Supplices (Hiketides);Aischyl. Suppl.;Aischyl_Suppl;;;;;;;;;;@Book{Aischyl_Suppl,author ={}, title ={Supplices (Hiketides)}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Supplices (Hiketides)}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Suppl.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aisop.;;Aisopos;;Aisop.;Aisop;;;;;;;;;;@Book{Aisop,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aisop.}, shortauthor = {Aisopos}, keywords = {ancient}, options = {antik},}
Alex. Aphr.;;Alexandros von Aphrodisias;;Alex. Aphr.;Alex_Aphr;;;;;;;;;;@Book{Alex_Aphr,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Alex. Aphr.}, shortauthor = {Alexandros von Aphrodisias}, keywords = {ancient}, options = {antik},}
Alk.;;Alkaios;;Alk.;Alk;;;;;;;;;;@Book{Alk,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Alk.}, shortauthor = {Alkaios}, keywords = {ancient}, options = {antik},}
Ambr.;epist.;Ambrosius;epistulae;Ambr. epist.;Ambr_epist;;;;;;;;;;@Book{Ambr_epist,author ={}, title ={epistulae}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {epistulae}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ambr. epist.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},}
Ambr.;exc. Sat.;Ambrosius;de excessu fratris (Satyri);Ambr. exc. Sat.;Ambr_exc_Sat;;;;;;;;;;@Book{Ambr_exc_Sat,author ={}, title ={de excessu fratris (Satyri)}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de excessu fratris (Satyri)}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ambr. exc. Sat.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},}
Ambr.;obit. Theod.;Ambrosius;de obitu Theodosii;Ambr. obit. Theod.;Ambr_obit_Theod;;;;;;;;;;@Book{Ambr_obit_Theod,author ={}, title ={de obitu Theodosii}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de obitu Theodosii}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ambr. obit. Theod.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},}
Ambr.;obit. Valent.;Ambrosius;de obitu Valentiniani (iunioris);Ambr. obit. Valent.;Ambr_obit_Valent;;;;;;;;;;@Book{Ambr_obit_Valent,author ={}, title ={de obitu Valentiniani (iunioris)}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de obitu Valentiniani (iunioris)}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ambr. obit. Valent.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},}
Ambr.;off.;Ambrosius;de officiis magistrorum;Ambr. off.;Ambr_off;;;;;;;;;;@Book{Ambr_off,author ={}, title ={de officiis magistrorum}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de officiis magistrorum}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ambr. off.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},}
Ambr.;paenit.;Ambrosius;de paenitentia;Ambr. paenit.;Ambr_paenit;;;;;;;;;;@Book{Ambr_paenit,author ={}, title ={de paenitentia}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de paenitentia}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ambr. paenit.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},}
Amm.;;Ammianus Marcellinus;;Amm.;Amm;;;;;;;;;;@Book{Amm,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Amm.}, shortauthor = {Ammianus Marcellinus}, keywords = {ancient}, options = {antik},}
Anakr.;;Anakreon;;Anakr.;Anakr;;;;;;;;;;@Book{Anakr,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anakr.}, shortauthor = {Anakreon}, keywords = {ancient}, options = {antik},}
Anaxag.;;Anaxagoras;;Anaxag.;Anaxag;;;;;;;;;;@Book{Anaxag,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anaxag.}, shortauthor = {Anaxagoras}, keywords = {ancient}, options = {antik},}
Anaximand.;;Anaximandros;;Anaximand.;Anaximand;;;;;;;;;;@Book{Anaximand,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anaximand.}, shortauthor = {Anaximandros}, keywords = {ancient}, options = {antik},}
Anaximen.;;Anaximenes;;Anaximen.;Anaximen;;;;;;;;;;@Book{Anaximen,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anaximen.}, shortauthor = {Anaximenes}, keywords = {ancient}, options = {antik},}
And.;;Andokides;;And.;And;;;;;;;;;;@Book{And,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {And.}, shortauthor = {Andokides}, keywords = {ancient}, options = {antik},}
Anth. Plan.;;Anthologia Planudea;;Anth. Plan.;Anth_Plan;;;;;;;;;;@Book{Anth_Plan,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anth. Plan.}, shortauthor = {Anthologia Planudea}, keywords = {ancient}, options = {antik},}
Antiph.;;Antiphon;;Antiph.;Antiph;;;;;;;;;;@Book{Antiph,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Antiph.}, shortauthor = {Antiphon}, keywords = {ancient}, options = {antik},}
Antisth.;;Antisthenes;;Antisth.;Antisth;;;;;;;;;;@Book{Antisth,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Antisth.}, shortauthor = {Antisthenes}, keywords = {ancient}, options = {antik},}
Anth. Gr.;;Antologia Graeca;;Anth. Gr.;Anth_Gr;;;;;;;;;;@Book{Anth_Gr,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anth. Gr.}, shortauthor = {Antologia Graeca}, keywords = {ancient}, options = {antik},}
Anth. Lat.;;Antologia Latina;;Anth. Lat.;Anth_Lat;;;;;;;;;;@Book{Anth_Lat,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anth. Lat.}, shortauthor = {Antologia Latina}, keywords = {ancient}, options = {antik},}
Anth. Pal.;;Antologia Palatina;;Anth. Pal.;Anth_Pal;;;;;;;;;;@Book{Anth_Pal,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anth. Pal.}, shortauthor = {Antologia Palatina}, keywords = {ancient}, options = {antik},}
Apk;;Apokalypse;;Ap.;Ap;;;;;;;;;;@Book{Ap,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ap.}, shortauthor = {Apokalypse}, keywords = {ancient}, options = {antik},}
Apollod.;bibl.;Apollodoros;bibliotheke;Apollod. bibl.;Apollod_bibl;;;;;;;;;;@Book{Apollod_bibl,author ={}, title ={bibliotheke}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {bibliotheke}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Apollod. bibl.}, shortauthor = {Apollodoros}, keywords = {ancient}, options = {antik},}
Apollod.;epit.;Apollodoros;epitome;Apollod. epit.;Apollod_epit;;;;;;;;;;@Book{Apollod_epit,author ={}, title ={epitome}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {epitome}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Apollod. epit.}, shortauthor = {Apollodoros}, keywords = {ancient}, options = {antik},}
Apoll. Rhod.;;Apollonios Rhodios;Argonautica;Apoll. Rhod.;Apoll_Rhod;;;;greek;2009;1;;Race, William H.;Race, William H.;@Book{Apoll_Rhod,author ={}, title ={Argonautica}, publisher = HUP, location = {Cambridge, MA and London}, year = {2009}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Argonautica}, origlanguage = {greek}, translator = {Race, William H.}, editor = {Race, William H.}, shorthand = {Apoll. Rhod.}, shortauthor = {Apollonios Rhodios}, keywords = {ancient}, options = {antik},}
App.;civ.;Appian;bella civilia;App. civ.;App_civ;;Roman History;The Civil War.;greek;1913;4—5;III—IV;White, Horace;White, Horace;@Book{App_civ,author ={}, title ={bella civilia}, publisher = HUP, location = {Cambridge, MA and London}, year = {1913}, volume = {III—IV}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {bella civilia}, origlanguage = {greek}, translator = {White, Horace}, editor = {White, Horace}, shorthand = {App. civ.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Hann.;Appian;Hannibalica;App. Hann.;App_Hann;;;;;;;;;;@Book{App_Hann,author ={}, title ={Hannibalica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Hannibalica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Hann.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Ib.;Appian;Iberica;App. Ib.;App_Ib;;;;;;;;;;@Book{App_Ib,author ={}, title ={Iberica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Iberica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Ib.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Ill.;Appian;Illyrica;App. Ill.;App_Ill;;;;;;;;;;@Book{App_Ill,author ={}, title ={Illyrica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Illyrica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Ill.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;It.;Appian;Italica;App. It.;App_It;;;;;;;;;;@Book{App_It,author ={}, title ={Italica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Italica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. It.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Lib.;Appian;Libyca;App. Lib.;App_Lib;;;;;;;;;;@Book{App_Lib,author ={}, title ={Libyca}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Libyca}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Lib.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Mac.;Appian;Macedonica;App. Mac.;App_Mac;;;;;;;;;;@Book{App_Mac,author ={}, title ={Macedonica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Macedonica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Mac.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Mithr.;Appian;Mithridatius;App. Mithr.;App_Mithr;;;;;;;;;;@Book{App_Mithr,author ={}, title ={Mithridatius}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Mithridatius}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Mithr.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;pr.;Appian;proemium;App. pr.;App_pr;;;;;;;;;;@Book{App_pr,author ={}, title ={proemium}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {proemium}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. pr.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;reg.;Appian;regia;App. reg.;App_reg;;;;;;;;;;@Book{App_reg,author ={}, title ={regia}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {regia}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. reg.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Samn.;Appian;Samnitica;App. Samn.;App_Samn;;;;;;;;;;@Book{App_Samn,author ={}, title ={Samnitica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Samnitica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Samn.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Rom.;Appian;historia romana;App. Rom.;App_Rom;;;Roman History;greek;1912—1913;2—5;I—IV;McGing, Brian and White, Horace;McGing, Brian and White, Horace;@Book{App_Rom,author ={}, title ={historia romana}, publisher = HUP, location = {Cambridge, MA and London}, year = {1912—1913}, volume = {I—IV}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {historia romana}, origlanguage = {greek}, translator = {McGing, Brian and White, Horace}, editor = {McGing, Brian and White, Horace}, shorthand = {App. Rom.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Sic.;Appian;Sicula;App. Sic.;App_Sic;;;;;;;;;;@Book{App_Sic,author ={}, title ={Sicula}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Sicula}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Sic.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Syr.;Appian;Syriaca;App. Syr.;App_Syr;;;;;;;;;;@Book{App_Syr,author ={}, title ={Syriaca}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Syriaca}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Syr.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Celt.;Appian;Celtica;App. Celt.;App_Celt;;;;;;;;;;@Book{App_Celt,author ={}, title ={Celtica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Celtica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Celt.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
Apg;;Apostelgeschichte;;Ap.;Ap;;;;;;;;;;@Book{Ap,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ap.}, shortauthor = {Apostelgeschichte}, keywords = {ancient}, options = {antik},}
Apul.;Flor.;Apuleius;florida;Apul. Flor.;Apul_Flor;;;;;;;;;;@Book{Apul_Flor,author ={}, title ={florida}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {florida}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Apul. Flor.}, shortauthor = {Apuleius}, keywords = {ancient}, options = {antik},}
Apul.;met.;Apuleius;metamorphoses;Apul. met.;Apul_met;;;;;;;;;;@Book{Apul_met,author ={}, title ={metamorphoses}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {metamorphoses}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Apul. met.}, shortauthor = {Apuleius}, keywords = {ancient}, options = {antik},}
Arat.;;Aratos;;Arat.;Arat;;;;;;;;;;@Book{Arat,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Arat.}, shortauthor = {Aratos}, keywords = {ancient}, options = {antik},}
Archil.;;Archilochos;;Archil.;Archil;;;;;;;;;;@Book{Archil,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Archil.}, shortauthor = {Archilochos}, keywords = {ancient}, options = {antik},}
Archim.;;Archimedes;;Archim.;Archim;;;;;;;;;;@Book{Archim,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Archim.}, shortauthor = {Archimedes}, keywords = {ancient}, options = {antik},}
Archyt.;;Archytas;;Archyt.;Archyt;;;;;;;;;;@Book{Archyt,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Archyt.}, shortauthor = {Archytas}, keywords = {ancient}, options = {antik},}
Aristoph.;Ach.;Aristophanes;Acharnenses;Aristoph. Ach.;Aristoph_Ach;;;;;;;;;;@Book{Aristoph_Ach,author ={}, title ={Acharnenses}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Acharnenses}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aristoph. Ach.}, shortauthor = {Aristophanes}, keywords = {ancient}, options = {antik},}
Aristoph.;Av.;Aristophanes;Aves (Ornithes);Aristoph. Av.;Aristoph_Av;;;;;;;;;;@Book{Aristoph_Av,author ={}, title ={Aves (Ornithes)}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Aves (Ornithes)}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aristoph. Av.}, shortauthor = {Aristophanes}, keywords = {ancient}, options = {antik},}
Aristoph.;Eccl.;Aristophanes; Ecclesiazusae;Aristoph. Eccl.;Aristoph_Eccl;;;;;;;;;;@Book{Aristoph_Eccl,author ={}, title ={ Ecclesiazusae}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = { Ecclesiazusae}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aristoph. Eccl.}, shortauthor = {Aristophanes}, keywords = {ancient}, options = {antik},}
Aristoph.;Equ.;Aristophanes;Equites (Hippeis);Aristoph. Equ.;Aristoph_Equ;;;;;;;;;;@Book{Aristoph_Equ,author ={}, title ={Equites (Hippeis)}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Equites (Hippeis)}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aristoph. Equ.}, shortauthor = {Aristophanes}, keywords = {ancient}, options = {antik},}
Aristoph.;Lys.;Aristophanes;Lysistrata;Aristoph. Lys.;Aristoph_Lys;;;;;;;;;;@Book{Aristoph_Lys,author ={}, title ={Lysistrata}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Lysistrata}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aristoph. Lys.}, shortauthor = {Aristophanes}, keywords = {ancient}, options = {antik},}
Aristoph.;Nub.;Aristophanes;Nubes (Nephelai);Aristoph. Nub.;Aristoph_Nub;;;;;;;;;;@Book{Aristoph_Nub,author ={}, title ={Nubes (Nephelai)}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Nubes (Nephelai)}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aristoph. Nub.}, shortauthor = {Aristophanes}, keywords = {ancient}, options = {antik},}
Aristoph.;Pax;Aristophanes;Pax (Eirene);Aristoph. Pax;Aristoph_Pax;;;;;;;;;;@Book{Aristoph_Pax,author ={}, title ={Pax (Eirene)}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Pax (Eirene)}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aristoph. Pax}, shortauthor = {Aristophanes}, keywords = {ancient}, options = {antik},}
