Author-abbrv;Title-abbrv;shortauthor;origtitle;shorthand;bibtexkey;author;maintitle;title;origlanguage;year;number;volume;translator;editor;entry
Cic.;opt. gen.;Cicero;de optimo genere oratorum;Cic. opt. gen.;Cic_opt_gen;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_opt_gen,author ={Tullius Cicero, Marcus}, title ={de optimo genere oratorum}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de optimo genere oratorum}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. opt. gen.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;orat.;Cicero;orator;Cic. orat.;Cic_orat;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_orat,author ={Tullius Cicero, Marcus}, title ={orator}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {orator}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. orat.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;p.red.ad Quir.;Cicero;oratio post reditum ad Quirites;Cic. p.red.ad Quir.;Cic_predad_Quir;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_predad_Quir,author ={Tullius Cicero, Marcus}, title ={oratio post reditum ad Quirites}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {oratio post reditum ad Quirites}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. p.red.ad Quir.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;p.red.in sen.;Cicero;oratio post reditum in senatu;Cic. p.red.in sen.;Cic_predin_sen;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_predin_sen,author ={Tullius Cicero, Marcus}, title ={oratio post reditum in senatu}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {oratio post reditum in senatu}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. p.red.in sen.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;parad.;Cicero;paradoxa;Cic. parad.;Cic_parad;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_parad,author ={Tullius Cicero, Marcus}, title ={paradoxa}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {paradoxa}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. parad.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;part.;Cicero;partitiones oratoriae;Cic. part.;Cic_part;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_part,author ={Tullius Cicero, Marcus}, title ={partitiones oratoriae}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {partitiones oratoriae}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. part.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Phil.;Cicero;in M. Antonium orationes Philippicae;Cic. Phil.;Cic_Phil;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Phil,author ={Tullius Cicero, Marcus}, title ={in M. Antonium orationes Philippicae}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {in M. Antonium orationes Philippicae}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Phil.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Pis.;Cicero;in L. Pisonem;Cic. Pis.;Cic_Pis;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Pis,author ={Tullius Cicero, Marcus}, title ={in L. Pisonem}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {in L. Pisonem}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Pis.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Planc.;Cicero;pro Cn. Plancio;Cic. Planc.;Cic_Planc;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Planc,author ={Tullius Cicero, Marcus}, title ={pro Cn. Plancio}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {pro Cn. Plancio}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Planc.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Q. Rosc.;Cicero;pro Q. Roscio comoedo;Cic. Q. Rosc.;Cic_Q_Rosc;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Q_Rosc,author ={Tullius Cicero, Marcus}, title ={pro Q. Roscio comoedo}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {pro Q. Roscio comoedo}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Q. Rosc.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Quinct.;Cicero;pro P. Quinctio;Cic. Quinct.;Cic_Quinct;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Quinct,author ={Tullius Cicero, Marcus}, title ={pro P. Quinctio}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {pro P. Quinctio}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Quinct.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Rab. perd.;Cicero;pro C. Rabirioperduellionis reo;Cic. Rab. perd.;Cic_Rab_perd;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Rab_perd,author ={Tullius Cicero, Marcus}, title ={pro C. Rabirioperduellionis reo}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {pro C. Rabirioperduellionis reo}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Rab. perd.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Rab post.;Cicero;pro C. Rabirio Postumo;Cic. Rab post.;Cic_Rab_post;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Rab_post,author ={Tullius Cicero, Marcus}, title ={pro C. Rabirio Postumo}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {pro C. Rabirio Postumo}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Rab post.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;rep.;Cicero;de re publica;Cic. rep.;Cic_rep;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_rep,author ={Tullius Cicero, Marcus}, title ={de re publica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de re publica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. rep.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;S. Rosc.;Cicero;pro Sex. Roscio Amerino;Cic. S. Rosc.;Cic_S_Rosc;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_S_Rosc,author ={Tullius Cicero, Marcus}, title ={pro Sex. Roscio Amerino}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {pro Sex. Roscio Amerino}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. S. Rosc.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Scaur.;Cicero;pro M. Aemilio Scauro;Cic. Scaur.;Cic_Scaur;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Scaur,author ={Tullius Cicero, Marcus}, title ={pro M. Aemilio Scauro}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {pro M. Aemilio Scauro}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Scaur.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
