Aaa Author-abbrv;Title-abbrv;shortauthor;origtitle;shorthand;bibtexkey;author;maintitle;title;origlanguage;year;number;volume;translator;editor;entry;
Serv.;georg.;Servius;commentarius in Vergilii georgica;Serv. georg.;Serv_georg;;;;;;;;;;@Book{Serv_georg,author ={}, title ={commentarius in Vergilii georgica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {commentarius in Vergilii georgica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Serv. georg.}, shortauthor = {Servius}, keywords = {ancient}, options = {antik},};@Book{Serv_georg,author ={},  origtitle = {commentarius in Vergilii georgica }, shorthand = {Serv. georg.}, shortauthor = {Servius}, keywords = {ancient}, options = {antik},}
Serv. auct.;;Servius auctus Danielis;;Serv. auct.;Serv_auct;;;;;;;;;;@Book{Serv_auct,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Serv. auct.}, shortauthor = {Servius auctus Danielis}, keywords = {ancient}, options = {antik},};@Book{Serv_auct,author ={},  origtitle = { }, shorthand = {Serv. auct.}, shortauthor = {Servius auctus Danielis}, keywords = {ancient}, options = {antik},}
Sil.;;Silius Italicus;Punica;Sil.;Sil;;;;;;;;;;@Book{Sil,author ={}, title ={Punica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Punica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Sil.}, shortauthor = {Silius Italicus}, keywords = {ancient}, options = {antik},};@Book{Sil,author ={},  origtitle = {Punica }, shorthand = {Sil.}, shortauthor = {Silius Italicus}, keywords = {ancient}, options = {antik},}
Sim.;;Simonides;;Sim.;Sim;;;;;;;;;;@Book{Sim,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Sim.}, shortauthor = {Simonides}, keywords = {ancient}, options = {antik},};@Book{Sim,author ={},  origtitle = { }, shorthand = {Sim.}, shortauthor = {Simonides}, keywords = {ancient}, options = {antik},}
Simpl.;;Simplikios;;Simpl.;Simpl;;;;;;;;;;@Book{Simpl,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Simpl.}, shortauthor = {Simplikios}, keywords = {ancient}, options = {antik},};@Book{Simpl,author ={},  origtitle = { }, shorthand = {Simpl.}, shortauthor = {Simplikios}, keywords = {ancient}, options = {antik},}
Sol.;;Solon;;Sol.;Sol;;;;;;;;;;@Book{Sol,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Sol.}, shortauthor = {Solon}, keywords = {ancient}, options = {antik},};@Book{Sol,author ={},  origtitle = { }, shorthand = {Sol.}, shortauthor = {Solon}, keywords = {ancient}, options = {antik},}
Soph.;Ai.;Sophokles;Aias;Soph. Ai.;Soph_Ai;;;;;;;;;;@Book{Soph_Ai,author ={}, title ={Aias}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Aias}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Soph. Ai.}, shortauthor = {Sophokles}, keywords = {ancient}, options = {antik},};@Book{Soph_Ai,author ={},  origtitle = {Aias }, shorthand = {Soph. Ai.}, shortauthor = {Sophokles}, keywords = {ancient}, options = {antik},}
Soph.;Ant.;Sophokles;Antigone;Soph. Ant.;Soph_Ant;;;;;;;;;;@Book{Soph_Ant,author ={}, title ={Antigone}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Antigone}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Soph. Ant.}, shortauthor = {Sophokles}, keywords = {ancient}, options = {antik},};@Book{Soph_Ant,author ={},  origtitle = {Antigone }, shorthand = {Soph. Ant.}, shortauthor = {Sophokles}, keywords = {ancient}, options = {antik},}
Soph.;El.;Sophokles;Electra;Soph. El.;Soph_El;;;;;;;;;;@Book{Soph_El,author ={}, title ={Electra}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Electra}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Soph. El.}, shortauthor = {Sophokles}, keywords = {ancient}, options = {antik},};@Book{Soph_El,author ={},  origtitle = {Electra }, shorthand = {Soph. El.}, shortauthor = {Sophokles}, keywords = {ancient}, options = {antik},}
Soph.;Oid. K.;Sophokles;Oedipus Coloneus;Soph. Oid. K.;Soph_Oid_K;;;;;;;;;;@Book{Soph_Oid_K,author ={}, title ={Oedipus Coloneus}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Oedipus Coloneus}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Soph. Oid. K.}, shortauthor = {Sophokles}, keywords = {ancient}, options = {antik},};@Book{Soph_Oid_K,author ={},  origtitle = {Oedipus Coloneus }, shorthand = {Soph. Oid. K.}, shortauthor = {Sophokles}, keywords = {ancient}, options = {antik},}
