Aaa Author-abbrv;Title-abbrv;shortauthor;origtitle;shorthand;bibtexkey;author;maintitle;title;origlanguage;year;number;volume;translator;editor;entry;
Acc.;;Accius;;Acc.;Acc;;;;;;;;;;@Book{Acc,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Acc.}, shortauthor = {Accius}, keywords = {ancient}, options = {antik},};@Book{Acc,author ={},  origtitle = { }, shorthand = {Acc.}, shortauthor = {Accius}, keywords = {ancient}, options = {antik},}
Ach. Tat.;;Achilleus Tatios;;Ach. Tat.;Ach_Tat;;;;;;;;;;@Book{Ach_Tat,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ach. Tat.}, shortauthor = {Achilleus Tatios}, keywords = {ancient}, options = {antik},};@Book{Ach_Tat,author ={},  origtitle = { }, shorthand = {Ach. Tat.}, shortauthor = {Achilleus Tatios}, keywords = {ancient}, options = {antik},}
Aet.;;Aetios;;Aet.;Aet;;;;;;;;;;@Book{Aet,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aet.}, shortauthor = {Aetios}, keywords = {ancient}, options = {antik},};@Book{Aet,author ={},  origtitle = { }, shorthand = {Aet.}, shortauthor = {Aetios}, keywords = {ancient}, options = {antik},}
Aischyl.;Ag.;Aischylos;Agamemnon;Aischyl. Ag.;Aischyl_Ag;;;;;;;;;;@Book{Aischyl_Ag,author ={}, title ={Agamemnon}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Agamemnon}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Ag.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Ag,author ={},  origtitle = {Agamemnon }, shorthand = {Aischyl. Ag.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Choeph.;Aischylos;Choephoroi;Aischyl. Choeph.;Aischyl_Choeph;;;;;;;;;;@Book{Aischyl_Choeph,author ={}, title ={Choephoroi}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Choephoroi}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Choeph.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Choeph,author ={},  origtitle = {Choephoroi }, shorthand = {Aischyl. Choeph.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Eum.;Aischylos;Eumenides;Aischyl. Eum.;Aischyl_Eum;;;;;;;;;;@Book{Aischyl_Eum,author ={}, title ={Eumenides}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Eumenides}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Eum.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Eum,author ={},  origtitle = {Eumenides }, shorthand = {Aischyl. Eum.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Pers.;Aischylos;Persae;Aischyl. Pers.;Aischyl_Pers;;;;;;;;;;@Book{Aischyl_Pers,author ={}, title ={Persae}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Persae}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Pers.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Pers,author ={},  origtitle = {Persae }, shorthand = {Aischyl. Pers.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Prom.;Aischylos;Prometheus;Aischyl. Prom.;Aischyl_Prom;;;;;;;;;;@Book{Aischyl_Prom,author ={}, title ={Prometheus}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Prometheus}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Prom.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Prom,author ={},  origtitle = {Prometheus }, shorthand = {Aischyl. Prom.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Sept.;Aischylos;Septem adversus Thebas;Aischyl. Sept.;Aischyl_Sept;;;;;;;;;;@Book{Aischyl_Sept,author ={}, title ={Septem adversus Thebas}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Septem adversus Thebas}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Sept.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Sept,author ={},  origtitle = {Septem adversus Thebas }, shorthand = {Aischyl. Sept.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Suppl.;Aischylos;Supplices (Hiketides);Aischyl. Suppl.;Aischyl_Suppl;;;;;;;;;;@Book{Aischyl_Suppl,author ={}, title ={Supplices (Hiketides)}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Supplices (Hiketides)}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Suppl.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Suppl,author ={},  origtitle = {Supplices (Hiketides) }, shorthand = {Aischyl. Suppl.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aisop.;;Aisopos;;Aisop.;Aisop;;;;;;;;;;@Book{Aisop,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aisop.}, shortauthor = {Aisopos}, keywords = {ancient}, options = {antik},};@Book{Aisop,author ={},  origtitle = { }, shorthand = {Aisop.}, shortauthor = {Aisopos}, keywords = {ancient}, options = {antik},}
Alex. Aphr.;;Alexandros von Aphrodisias;;Alex. Aphr.;Alex_Aphr;;;;;;;;;;@Book{Alex_Aphr,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Alex. Aphr.}, shortauthor = {Alexandros von Aphrodisias}, keywords = {ancient}, options = {antik},};@Book{Alex_Aphr,author ={},  origtitle = { }, shorthand = {Alex. Aphr.}, shortauthor = {Alexandros von Aphrodisias}, keywords = {ancient}, options = {antik},}
Alk.;;Alkaios;;Alk.;Alk;;;;;;;;;;@Book{Alk,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Alk.}, shortauthor = {Alkaios}, keywords = {ancient}, options = {antik},};@Book{Alk,author ={},  origtitle = { }, shorthand = {Alk.}, shortauthor = {Alkaios}, keywords = {ancient}, options = {antik},}
Ambr.;epist.;Ambrosius;epistulae;Ambr. epist.;Ambr_epist;;;;;;;;;;@Book{Ambr_epist,author ={}, title ={epistulae}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {epistulae}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ambr. epist.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},};@Book{Ambr_epist,author ={},  origtitle = {epistulae }, shorthand = {Ambr. epist.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},}
Ambr.;exc. Sat.;Ambrosius;de excessu fratris (Satyri);Ambr. exc. Sat.;Ambr_exc_Sat;;;;;;;;;;@Book{Ambr_exc_Sat,author ={}, title ={de excessu fratris (Satyri)}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de excessu fratris (Satyri)}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ambr. exc. Sat.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},};@Book{Ambr_exc_Sat,author ={},  origtitle = {de excessu fratris (Satyri) }, shorthand = {Ambr. exc. Sat.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},}
Ambr.;obit. Theod.;Ambrosius;de obitu Theodosii;Ambr. obit. Theod.;Ambr_obit_Theod;;;;;;;;;;@Book{Ambr_obit_Theod,author ={}, title ={de obitu Theodosii}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de obitu Theodosii}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ambr. obit. Theod.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},};@Book{Ambr_obit_Theod,author ={},  origtitle = {de obitu Theodosii }, shorthand = {Ambr. obit. Theod.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},}
Ambr.;obit. Valent.;Ambrosius;de obitu Valentiniani (iunioris);Ambr. obit. Valent.;Ambr_obit_Valent;;;;;;;;;;@Book{Ambr_obit_Valent,author ={}, title ={de obitu Valentiniani (iunioris)}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de obitu Valentiniani (iunioris)}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ambr. obit. Valent.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},};@Book{Ambr_obit_Valent,author ={},  origtitle = {de obitu Valentiniani (iunioris) }, shorthand = {Ambr. obit. Valent.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},}
Ambr.;off.;Ambrosius;de officiis magistrorum;Ambr. off.;Ambr_off;;;;;;;;;;@Book{Ambr_off,author ={}, title ={de officiis magistrorum}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de officiis magistrorum}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ambr. off.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},};@Book{Ambr_off,author ={},  origtitle = {de officiis magistrorum }, shorthand = {Ambr. off.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},}
Ambr.;paenit.;Ambrosius;de paenitentia;Ambr. paenit.;Ambr_paenit;;;;;;;;;;@Book{Ambr_paenit,author ={}, title ={de paenitentia}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de paenitentia}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ambr. paenit.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},};@Book{Ambr_paenit,author ={},  origtitle = {de paenitentia }, shorthand = {Ambr. paenit.}, shortauthor = {Ambrosius}, keywords = {ancient}, options = {antik},}
Amm.;;Ammianus Marcellinus;;Amm.;Amm;{Ammianus <Marcellinus>};;;;;;;;;@Book{Amm,author ={{Ammianus <Marcellinus>}}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Amm.}, shortauthor = {Ammianus Marcellinus}, keywords = {ancient}, options = {antik},};@Book{Amm,author ={{Ammianus <Marcellinus>}},  origtitle = { }, shorthand = {Amm.}, shortauthor = {Ammianus Marcellinus}, keywords = {ancient}, options = {antik},}
Anakr.;;Anakreon;;Anakr.;Anakr;;;;;;;;;;@Book{Anakr,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anakr.}, shortauthor = {Anakreon}, keywords = {ancient}, options = {antik},};@Book{Anakr,author ={},  origtitle = { }, shorthand = {Anakr.}, shortauthor = {Anakreon}, keywords = {ancient}, options = {antik},}
Anaxag.;;Anaxagoras;;Anaxag.;Anaxag;;;;;;;;;;@Book{Anaxag,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anaxag.}, shortauthor = {Anaxagoras}, keywords = {ancient}, options = {antik},};@Book{Anaxag,author ={},  origtitle = { }, shorthand = {Anaxag.}, shortauthor = {Anaxagoras}, keywords = {ancient}, options = {antik},}
Anaximand.;;Anaximandros;;Anaximand.;Anaximand;;;;;;;;;;@Book{Anaximand,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anaximand.}, shortauthor = {Anaximandros}, keywords = {ancient}, options = {antik},};@Book{Anaximand,author ={},  origtitle = { }, shorthand = {Anaximand.}, shortauthor = {Anaximandros}, keywords = {ancient}, options = {antik},}
Anaximen.;;Anaximenes;;Anaximen.;Anaximen;;;;;;;;;;@Book{Anaximen,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anaximen.}, shortauthor = {Anaximenes}, keywords = {ancient}, options = {antik},};@Book{Anaximen,author ={},  origtitle = { }, shorthand = {Anaximen.}, shortauthor = {Anaximenes}, keywords = {ancient}, options = {antik},}
And.;;Andokides;;And.;And;;;;;;;;;;@Book{And,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {And.}, shortauthor = {Andokides}, keywords = {ancient}, options = {antik},};@Book{And,author ={},  origtitle = { }, shorthand = {And.}, shortauthor = {Andokides}, keywords = {ancient}, options = {antik},}
Anth. Gr.;;Antologia Graeca;;Anth. Gr.;Anth_Gr;;;;;;;;;;@Book{Anth_Gr,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anth. Gr.}, shortauthor = {Antologia Graeca}, keywords = {ancient}, options = {antik},};@Book{Anth_Gr,author ={},  origtitle = { }, shorthand = {Anth. Gr.}, shortauthor = {Antologia Graeca}, keywords = {ancient}, options = {antik},}
Anth. Lat.;;Antologia Latina;;Anth. Lat.;Anth_Lat;;;;;;;;;;@Book{Anth_Lat,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anth. Lat.}, shortauthor = {Antologia Latina}, keywords = {ancient}, options = {antik},};@Book{Anth_Lat,author ={},  origtitle = { }, shorthand = {Anth. Lat.}, shortauthor = {Antologia Latina}, keywords = {ancient}, options = {antik},}
Anth. Pal.;;Antologia Palatina;;Anth. Pal.;Anth_Pal;;;;;;;;;;@Book{Anth_Pal,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anth. Pal.}, shortauthor = {Antologia Palatina}, keywords = {ancient}, options = {antik},};@Book{Anth_Pal,author ={},  origtitle = { }, shorthand = {Anth. Pal.}, shortauthor = {Antologia Palatina}, keywords = {ancient}, options = {antik},}
Anth. Plan.;;Anthologia Planudea;;Anth. Plan.;Anth_Plan;;;;;;;;;;@Book{Anth_Plan,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Anth. Plan.}, shortauthor = {Anthologia Planudea}, keywords = {ancient}, options = {antik},};@Book{Anth_Plan,author ={},  origtitle = { }, shorthand = {Anth. Plan.}, shortauthor = {Anthologia Planudea}, keywords = {ancient}, options = {antik},}
Antiph.;;Antiphon;;Antiph.;Antiph;;;;;;;;;;@Book{Antiph,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Antiph.}, shortauthor = {Antiphon}, keywords = {ancient}, options = {antik},};@Book{Antiph,author ={},  origtitle = { }, shorthand = {Antiph.}, shortauthor = {Antiphon}, keywords = {ancient}, options = {antik},}
Antisth.;;Antisthenes;;Antisth.;Antisth;;;;;;;;;;@Book{Antisth,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Antisth.}, shortauthor = {Antisthenes}, keywords = {ancient}, options = {antik},};@Book{Antisth,author ={},  origtitle = { }, shorthand = {Antisth.}, shortauthor = {Antisthenes}, keywords = {ancient}, options = {antik},}
Apg;;Apostelgeschichte;;Ap.;Ap;;;;;;;;;;@Book{Ap,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ap.}, shortauthor = {Apostelgeschichte}, keywords = {ancient}, options = {antik},};@Book{Ap,author ={},  origtitle = { }, shorthand = {Ap.}, shortauthor = {Apostelgeschichte}, keywords = {ancient}, options = {antik},}
Apk;;Apokalypse;;Ap.;Apk;;;;;;;;;;@Book{Apk,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ap.}, shortauthor = {Apokalypse}, keywords = {ancient}, options = {antik},};@Book{Apk,author ={},  origtitle = { }, shorthand = {Ap.}, shortauthor = {Apokalypse}, keywords = {ancient}, options = {antik},}
Apoll. Rhod.;;Apollonios Rhodios;Argonautica;Apoll. Rhod.;Apoll_Rhod;;;;greek;2009;1;;Race, William H.;Race, William H.;@Book{Apoll_Rhod,author ={}, title ={Argonautica}, publisher = HUP, location = {Cambridge, MA and London}, year = {2009}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Argonautica}, origlanguage = {greek}, translator = {Race, William H.}, editor = {Race, William H.}, shorthand = {Apoll. Rhod.}, shortauthor = {Apollonios Rhodios}, keywords = {ancient}, options = {antik},};@Book{Apoll_Rhod,author ={},  origtitle = {Argonautica }, shorthand = {Apoll. Rhod.}, shortauthor = {Apollonios Rhodios}, keywords = {ancient}, options = {antik},}
Apollod.;bibl.;Apollodoros;bibliotheke;Apollod. bibl.;Apollod_bibl;;;;;;;;;;@Book{Apollod_bibl,author ={}, title ={bibliotheke}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {bibliotheke}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Apollod. bibl.}, shortauthor = {Apollodoros}, keywords = {ancient}, options = {antik},};@Book{Apollod_bibl,author ={},  origtitle = {bibliotheke }, shorthand = {Apollod. bibl.}, shortauthor = {Apollodoros}, keywords = {ancient}, options = {antik},}
Apollod.;epit.;Apollodoros;epitome;Apollod. epit.;Apollod_epit;;;;;;;;;;@Book{Apollod_epit,author ={}, title ={epitome}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {epitome}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Apollod. epit.}, shortauthor = {Apollodoros}, keywords = {ancient}, options = {antik},};@Book{Apollod_epit,author ={},  origtitle = {epitome }, shorthand = {Apollod. epit.}, shortauthor = {Apollodoros}, keywords = {ancient}, options = {antik},}
App.;Celt.;Appian;Celtica;App. Celt.;App_Celt;Appian;;;;;;;;;@Book{App_Celt,author ={Appian}, title ={Celtica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Celtica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Celt.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},};@Book{App_Celt,author ={Appian},  origtitle = {Celtica }, shorthand = {App. Celt.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;civ.;Appian;bella civilia;App. civ.;App_civ;Appian;Roman History;The Civil War.;greek;1913;4—5;III—IV;White, Horace;White, Horace;@Book{App_civ,author ={Appian}, title ={bella civilia}, publisher = HUP, location = {Cambridge, MA and London}, year = {1913}, volume = {III—IV}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {bella civilia}, origlanguage = {greek}, translator = {White, Horace}, editor = {White, Horace}, shorthand = {App. civ.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},};@Book{App_civ,author ={Appian},  origtitle = {bella civilia }, shorthand = {App. civ.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Hann.;Appian;Hannibalica;App. Hann.;App_Hann;Appian;;;;;;;;;@Book{App_Hann,author ={Appian}, title ={Hannibalica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Hannibalica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Hann.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},};@Book{App_Hann,author ={Appian},  origtitle = {Hannibalica }, shorthand = {App. Hann.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Ib.;Appian;Iberica;App. Ib.;App_Ib;Appian;;;;;;;;;@Book{App_Ib,author ={Appian}, title ={Iberica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Iberica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Ib.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},};@Book{App_Ib,author ={Appian},  origtitle = {Iberica }, shorthand = {App. Ib.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Ill.;Appian;Illyrica;App. Ill.;App_Ill;Appian;;;;;;;;;@Book{App_Ill,author ={Appian}, title ={Illyrica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Illyrica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Ill.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},};@Book{App_Ill,author ={Appian},  origtitle = {Illyrica }, shorthand = {App. Ill.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;It.;Appian;Italica;App. It.;App_It;Appian;;;;;;;;;@Book{App_It,author ={Appian}, title ={Italica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Italica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. It.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},};@Book{App_It,author ={Appian},  origtitle = {Italica }, shorthand = {App. It.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Lib.;Appian;Libyca;App. Lib.;App_Lib;Appian;;;;;;;;;@Book{App_Lib,author ={Appian}, title ={Libyca}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Libyca}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Lib.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},};@Book{App_Lib,author ={Appian},  origtitle = {Libyca }, shorthand = {App. Lib.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Mac.;Appian;Macedonica;App. Mac.;App_Mac;Appian;;;;;;;;;@Book{App_Mac,author ={Appian}, title ={Macedonica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Macedonica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Mac.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},};@Book{App_Mac,author ={Appian},  origtitle = {Macedonica }, shorthand = {App. Mac.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Mithr.;Appian;Mithridatius;App. Mithr.;App_Mithr;Appian;;;;;;;;;@Book{App_Mithr,author ={Appian}, title ={Mithridatius}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Mithridatius}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. Mithr.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},};@Book{App_Mithr,author ={Appian},  origtitle = {Mithridatius }, shorthand = {App. Mithr.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;pr.;Appian;proemium;App. pr.;App_pr;Appian;;;;;;;;;@Book{App_pr,author ={Appian}, title ={proemium}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {proemium}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. pr.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},};@Book{App_pr,author ={Appian},  origtitle = {proemium }, shorthand = {App. pr.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;reg.;Appian;regia;App. reg.;App_reg;Appian;;;;;;;;;@Book{App_reg,author ={Appian}, title ={regia}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {regia}, origlanguage = {}, translator = {}, editor = {}, shorthand = {App. reg.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},};@Book{App_reg,author ={Appian},  origtitle = {regia }, shorthand = {App. reg.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
App.;Rom.;Appian;historia romana;App. Rom.;App_Rom;Appian;;Roman History;greek;1912—1913;2—5;I—IV;McGing, Brian and White, Horace;McGing, Brian and White, Horace;@Book{App_Rom,author ={Appian}, title ={historia romana}, publisher = HUP, location = {Cambridge, MA and London}, year = {1912—1913}, volume = {I—IV}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {historia romana}, origlanguage = {greek}, translator = {McGing, Brian and White, Horace}, editor = {McGing, Brian and White, Horace}, shorthand = {App. Rom.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},};@Book{App_Rom,author ={Appian},  origtitle = {historia romana }, shorthand = {App. Rom.}, shortauthor = {Appian}, keywords = {ancient}, options = {antik},}
